Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO_AQI,NO2_AQI,NOx_AQI,C6H6_AQI,Overall_AQI
10/3/2004,18.00.00,2.6,1360,150,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.7578,30,103,83,,103
10/3/2004,19.00.00,2,1292,112,9.4,955,103,1174,92,1559,972,13.3,47.7,0.7255,23,91,52,150,150
10/3/2004,20.00.00,2.2,1402,88,9,939,131,1140,114,1555,1074,11.9,54,0.7502,25,103,66,146,146
10/3/2004,21.00.00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,11,60,0.7867,25,105,86,148,148
10/3/2004,22.00.00,1.6,1272,51,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888,18,104,66,121,121
10/3/2004,23.00.00,1.2,1197,38,4.7,750,89,1337,96,1393,949,11.2,59.2,0.7848,14,96,44,103,103
11/3/2004,00.00.00,1.2,1185,31,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603,14,76,31,89,89
11/3/2004,01.00.00,1,1136,31,3.3,672,62,1453,76,1333,730,10.7,60,0.7702,11,74,31,84,84
11/3/2004,02.00.00,0.9,1094,24,2.3,609,45,1579,60,1276,620,10.7,59.7,0.7648,10,57,22,70,70
11/3/2004,03.00.00,0.6,1010,19,1.7,561,246.8967349,1705,113.0912508,1235,501,10.3,60.2,0.7517,7,103,106,62,106
11/3/2004,04.00.00,2.152749544,1011,14,1.3,527,21,1818,34,1197,445,10.1,60.5,0.7465,24,32,10,56,56
11/3/2004,05.00.00,0.7,1066,8,1.1,512,16,1918,28,1182,422,11,56.2,0.7366,8,26,8,53,53
11/3/2004,06.00.00,0.7,1052,16,1.6,553,34,1738,48,1221,472,10.5,58.1,0.7353,8,45,17,60,60
11/3/2004,07.00.00,1.1,1144,29,3.2,667,98,1490,82,1339,730,10.2,59.6,0.7417,12,81,49,83,83
11/3/2004,08.00.00,2,1333,64,8,900,174,1136,112,1517,1102,10.8,57.4,0.7408,23,103,87,136,136
11/3/2004,09.00.00,2.2,1351,87,9.5,960,129,1079,101,1583,1028,10.5,60.6,0.7691,25,101,65,,101
11/3/2004,10.00.00,1.7,1233,77,6.3,827,112,1218,98,1446,860,10.8,58.4,0.7552,19,98,56,119,119
11/3/2004,11.00.00,1.5,1179,43,5,762,95,1328,92,1362,671,10.5,57.9,0.7352,17,91,48,106,106
11/3/2004,12.00.00,1.6,1236,61,5.2,774,104,1301,95,1401,664,9.5,66.8,0.7951,18,95,52,108,108
11/3/2004,13.00.00,1.9,1286,63,7.3,869,146,1162,112,1537,799,8.3,76.4,0.8393,22,103,73,129,129
11/3/2004,14.00.00,2.9,1371,164,11.5,1034,207,983,128,1730,1037,8,81.1,0.8736,33,106,102,,106
11/3/2004,15.00.00,2.2,1310,79,8.8,933,184,1082,126,1647,946,8.3,79.8,0.8778,25,106,92,144,144
